symbol,goog_symbol,yahoo_symbol,csi_symbol,tsid_symbol,name,country,city,currency,time_zone,utc_offset,open,close,lunch
AEX,AMS,AS,,AMS,NYSE Euronext Amsterdam,Netherlands,Amsterdam,EUR,CET,1,9:00,17:30,
ALBRTA,,,ALBRTA,ALB,Alberta Stock Exchange,Canada,Calgary,CAD,EST,-5,,,
AMEX,AMEX,,AMEX,AMEX,American Stock Exchange,United States,New York City,USD,EST,-5,9:30,16:00,
ASE,ATH,AT,,ATH,Athens Stock Exchange,Greece,Athens,EUR,EET,2,10:00,17:20,
ASX,ASX,AX,,ASX,Australian Stock Exchange,Australia,Sydney,AUD,AEST,10,10:00,16:00,
BAR,BCN,BC,,BAR,Barcelona Stock Exchange,Spain,Barcelona,EUR,CET,1,9:00,17:30,
BATS,BATS,,BATS,BATS,BATS Global Markets,United States,"Lenexa, Kansas",USD,CST,-6,9:30,16:00,
BEL,EBR,BR,,BRU,NYSE Euronext Brussels,Belgium,Brussels,EUR,CET,1,9:00,17:30,
BER,BER,BE,,BER,Berlin Stock Exchange,Germany,Berlin,EUR,CET,1,8:00,20:00,
BIL,,BI,,BIL,Bilbao Stock Exchange,Spain,Bilbao,EUR,,1,,,
BME,,,,BME,BME Spanish Exchanges,Spain,Madrid,EUR,,1,9:00,17:30,
BSE,BOM,BO,,BSE,Bombay Stock Exchange Limited,India,Mumbai,INR,IST,5.5,9:00,15:30,
BUE,BCBA,BA,,BA,Bolsa de Comercio de Buenos Aires,Argentina,Buenos Aires,BRL,,-3,,,
BVC,,CR,,CAR,Bolsa de Valores de Caracas,Venezuela,Caracas,VEF,,-4.5,,,
BVMF,BVMF,,,BVMF,BM&F Bovespa,Brazil,Sao Paulo,BRL,,-3,10:00,16:55,
CBOT,,CBT,,CBOT,Chicago Board of Trade,United States,Chicago,USD,CST,-6,,,
CDNX,CNSX,,,CNSX,Canadian Securities Exchange,Canada,Ontario,CAD,EST,-5,,,
CME,,CME,,CME,Chicago Mercantile Exchange,United States,Chicago,USD,CST,-6,,,
CSE,CPH,CO,,COP,NASDAQ OMX Copenhagen,Denmark,Copenhagen,DKK,CET,1,9:00,17:00,
DIV,,DIV,,DIV,DIV,,,USD,,,,,
DUS,,DU,,DUS,Dusseldorf Stock Exchange,Germany,Dusseldorf,EUR,CET,1,,,
ETF,ETF,ETF,,ETF,ETF,,,USD,,,,,
FRA,FRA,F,,FRA,Deutsche Börse Frankfurt Stock Exchange,Germany,Frankfurt,EUR,CET,1,9:00,20:00,
FUND,MUTF,FUND,FUND,FUND,Mutual Fund,,,USD,,,,,
GREY,OTCMKTS,,GREY,GREY,Grey Market,United States,,USD,,,,,
HAM,,HM,,HAM,Hamburg Stock Exchange,Germany,Hamburg,EUR,EET,1,,,
HAN,,HA,,HAN,Hanover Stock Exchange,Germany,Hanover,EUR,EET,1,,,
HKEX,HKG,HK,,HKG,Hong Kong Stock Exchange,Hong Kong,Hong Kong,HKD,HKT,8,9:30,16:00,12:00 - 13:00
ICEX,ICE,,,ICE,NASDAQ OMX Iceland,Iceland,Rejkjavik,ISK,,0,10:00,16:00,
IDX,JAK,JK,,INDO,Indonesia Stock Exchange,Indonesia,Jakarta,IDR,WIB,7,9:30,16:00,
INDEX,INDEX,INDEX,INDEX,INDEX,Indices,,,USD,,,,,
IST,IST,IS,,IST,Borsa Istanbul,Turkey,Istanbul,TRY,EET,2,9:30,17:30,
JSE,JSE,,,JSE,Johannesburg Stock Exchange,South Africa,Johannesburg,ZAR,SAST,2,9:00,17:00,
KSC,KRX,KS,,KOR,Korea Stock Exchange,South Korea,Seoul,KRW,KST,9,8:00,15:00,
KSCQ,KOSDAQ,KQ,,KOSDAQ,KOSDAQ,South Korea,Seoul,KRW,KST,9,8:00,15:00,
LSE,LON,L,LSE,LON,London Stock Exchange,United Kingdom,London,GBP,GMT,0,8:00,16:30,
MAD,MCE,MA,,MAD,Madrid Stock Exchange,Spain,Madrid,EUR,CET,1,9:00,17:30,
MEX,BMV,MX,,MEX,Mexico Stock Exchange,Mexico,Mexico City,MXN,,-6,,,
MF,,MF,,MADF,Madrid Fixed Income Market,Spain,Madrid,EUR,EET,1,,,
MICEX,MCX,ME,,MCX,Moscow Exchange,Russia,Moscow,RUB,MSK,3,10:30,19:00,
MIL,BIT,MI,,MIL,Borsa Italiana Milan Stock Exchange,Italy,Milan,EUR,CET,1,9:05,17:35,
MSE,,MC,,MADC,Madrid SE C.A.T.S.,Spain,Madrid,EUR,EET,1,,,
MUN,,MU,,MUN,Munich Stock Exchange,Germany,Munich,EUR,CET,1,,,
MX,,,MSE,MONT,Montreal Stock Exchange,Canada,Montreal,CAD,EST,-5,9:30,16:00,
